sku,marca,tamaño,subtipo,pack,coto_marca,coto_subtipo,disco_marca,disco_subtipo,vea_marca,vea_subtipo
2428,Eco de los Andes,1500,Con Gas,1,eco de los andes,con gas,eco de los andes,con gas,eco de los andes,con gas
14934,Eco de los Andes,500,Con Gas,1,eco de los andes,con gas,eco de los andes,con gas,eco de los andes,con gas
17081,Eco de los Andes,1000,Sin Gas,1,eco de los andes,,eco de los andes,,eco de los andes,
14938,Eco de los Andes,2000,Sin Gas,1,eco de los andes,,eco de los andes,,eco de los andes,
8064,Glaciar,1500,Sin Gas,1,glaciar,,glaciar,,glaciar,
899,Glaciar,2000,Sin Gas,1,glaciar,,glaciar,,glaciar,
18066,Glaciar,500,Sin Gas,1,glaciar,,glaciar,,glaciar,
15163,Glaciar,6.3,Sin Gas,1,glaciar,,glaciar,,glaciar,
18743,Nestle,1500,Sin Gas,1,nestlé,agua,nestlé,agua,nestlé,agua
18746,Nestle,6.3,Sin Gas,1,nestlé,agua,nestlé,agua,nestlé,agua
14097,Awafrut,1650,Manzana,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
14104,Awafrut,500,Manzana,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
14094,Awafrut,1650,Durazno,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
14103,Awafrut,500,Durazno,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
14095,Awafrut,1650,Pomelo,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
14102,Awafrut,500,Pomelo,1,awafrut,awafrut,awafrut,awafrut,awafrut,awafrut
16371,Red Bull,250,Normal,4,red bull,red bull,red bull,red bull,red bull,red bull
16371,Red Bull,250,Normal,1,red bull,red bull,red bull,red bull,red bull,red bull
16372,Red Bull,250,Sin Azucar,4,bull,sugarfree,bull,sugarfree,bull,sugarfree
16372,Red Bull,250,Sin Azucar,1,bull,sugarfree,bull,sugarfree,bull,sugarfree
1416,Gatorade,500,Manzana,1,gatorade,manzana,gatorade,manzana,gatorade,manzana
1418,Gatorade,500,Cool Blue,1,gatorade,cool blue,gatorade,cool blue,gatorade,cool blue
11522,Gatorade,500,Frutas Tropi,1,gatorade,frutas tropi,gatorade,frutas tropi,gatorade,frutas tropi
1413,Gatorade,500,Naranja,1,gatorade,naranja,gatorade,naranja,gatorade,naranja
1425,Gatorade,1250,Manzana,1,gatorade,manzana,gatorade,manzana,gatorade,manzana
1424,Gatorade,1250,Naranja,1,gatorade,naranja,gatorade,naranja,gatorade,naranja
8030,Gatorade,1250,Cool Blue,1,gatorade,cool blue,gatorade,cool blue,gatorade,cool blue
