,sku,marca,tamaño,subtipo,pack,disco,coto,vea,walmart
0,2428,Eco de los Andes,1500,Con Gas,1,,71.3,67.0,
1,14934,Eco de los Andes,500,Con Gas,1,77.0,49.65,75.0,
2,17081,Eco de los Andes,1000,Sin Gas,1,,94.5,95.0,
3,14938,Eco de los Andes,2000,Sin Gas,1,105.0,101.74,102.0,81.6
4,8064,Glaciar,1500,Sin Gas,1,81.0,76.03,94.0,
5,899,Glaciar,2000,Sin Gas,1,75.0,75.21,73.0,173.0
6,18066,Glaciar,500,Sin Gas,1,80.0,51.42,78.0,61.6
7,15163,Glaciar,6.3,Sin Gas,1,276.0,269.12,270.0,
8,18743,Nestle,1500,Sin Gas,1,63.0,63.98,,
9,18746,Nestle,6.3,Sin Gas,1,,,230.0,229.0
10,14097,Awafrut,1650,Manzana,1,,,,
11,14104,Awafrut,500,Manzana,1,,,,
12,14094,Awafrut,1650,Durazno,1,,,,
13,14103,Awafrut,500,Durazno,1,,,,
14,14095,Awafrut,1650,Pomelo,1,99.0,,,
15,14102,Awafrut,500,Pomelo,1,,,63.0,
16,16371,Red Bull,250,Normal,4,,145.66,,
17,16371,Red Bull,250,Normal,1,149.0,145.66,,122.0
18,16372,Red Bull,250,Sin Azucar,4,,,,
19,16372,Red Bull,250,Sin Azucar,1,,125.0,,
20,1416,Gatorade,500,Manzana,1,,114.65,86.0,75.8
21,1418,Gatorade,500,Cool Blue,1,85.0,,86.0,75.8
22,11522,Gatorade,500,Frutas Tropi,1,118.0,,86.0,75.8
23,1413,Gatorade,500,Naranja,1,118.0,114.65,86.0,75.8
24,1425,Gatorade,1250,Manzana,1,,192.25,,
25,1424,Gatorade,1250,Naranja,1,,,,144.0
26,8030,Gatorade,1250,Cool Blue,1,201.0,192.25,,144.0
27,19254,Andes,473,IPA,1,,169.5,,
28,19254,Andes,473,IPA,6,129.75,169.5,127.17,
29,17933,Andes,473,Negra,1,,,,
30,17933,Andes,473,Negra,6,,,127.17,
31,17932,Andes,473,Roja,1,,169.5,,
32,17932,Andes,473,Roja,6,129.75,169.5,127.17,
33,16811,Andes,473,Rubia,6,113.5,148.3,111.33,110.2
34,16811,Andes,473,Rubia,1,,148.3,,122.2
35,7633,Brahma,354,Clásica,1,,,,
36,7634,Brahma,473,Clásica,1,124.0,120.6,121.0,116.0
37,7633,Brahma,354,Clásica,6,,,,75.5
38,7634,Brahma,473,Clásica,6,,,120.67,
39,19026,Budweiser,473,,1,,,,
40,19026,Budweiser,473,,6,,,,
41,20412,Corona,330,,1,171.0,166.8,167.0,166.0
42,20433,Corona,710,,1,296.0,289.7,290.0,287.0
43,21864,Corona,269,,1,,147.9,148.0,
44,20412,Corona,330,,6,,,,
45,20433,Corona,710,,6,,,,
46,21864,Corona,269,,10,113.18,147.9,,146.0
47,22017,Patagonia,269,Hoppy Lager,1,,143.5,,
48,22017,Patagonia,269,Hoppy Lager,10,,143.5,,
49,16225,Patagonia,473,Amber Lager,1,,,,172.5
50,16225,Patagonia,473,Amber Lager,6,,231.33,,
51,18355,Patagonia,730,Amber Lager,1,312.0,304.4,305.0,227.2
52,18377,Patagonia,730,Bohemian Pilsener,1,312.0,304.4,305.0,227.2
53,20471,Patagonia,730,Hoppy Lager,1,,304.4,305.0,227.2
54,15621,Patagonia,473,24.7,6,,231.33,,172.0
55,15621,Patagonia,473,24.7,1,239.0,231.73,,
56,18354,Patagonia,730,24.7,1,312.0,304.4,305.0,
57,19498,Patagonia,473,Weisse,1,,,,
58,19498,Patagonia,473,Weisse,6,,,,
59,18361,Patagonia,730,Weisse,1,,304.4,305.0,
60,13224,Quilmes,473,1890,6,,,,
61,16986,Quilmes,473,Bock,6,,,,
62,2121,Quilmes,354,Clásica,6,,,,
63,2218,Quilmes,473,Clásica,6,,,,
64,13224,Quilmes,473,1890,1,,,,
65,16986,Quilmes,473,Bock,1,,,,
66,2121,Quilmes,354,Clásica,1,,,80.0,
67,2218,Quilmes,473,Clásica,1,92.0,92.42,,87.0
68,19534,Quilmes,473,Red Lager,1,,115.4,,138.0
69,19534,Quilmes,473,Red Lager,6,117.83,115.4,115.5,110.8
70,13503,Quilmes,473,Stout,1,,,,
71,22383,Quilmes,473,0%,1,,,,
72,13503,Quilmes,473,Stout,6,117.83,,,
73,22383,Quilmes,473,0%,6,,,,
74,15234,Stella Artois,473,,1,,190.1,,
75,15234,Stella Artois,473,,6,194.0,190.0,142.67,115.0
76,22608,Stella Artois,473,Noire,1,,,144.0,
77,22608,Stella Artois,473,Noire,6,194.0,190.0,142.67,
78,10576,Stella Artois,330,,1,,135.47,,103.5
79,19337,7up,1500,Normal,1,114.0,114.64,108.0,
80,19338,7up,2250,Normal,1,169.5,220.1,221.0,
81,19336,7up,500,Normal,1,78.0,,76.0,
82,21971,7up,354,Normal,1,,43.92,66.0,
83,7484,7up,1500,Sin Azúcar,1,145.0,145.38,137.0,
84,1427,7up,2250,Sin Azúcar,1,,220.1,,
