,marca,subtipo,tamaño,precio,pack,precio_final
0,h2o,Limoneto,1000,60.16,1,60.16
1,h2o,Limoneto,250,180.93,1,180.93
2,h2o,,1500,117.01,1,117.01
3,h2o,Citrus,1500,105.43,1,105.43
4,h2o,Limoneto,1500,105.35,1,105.35
5,h2o,Citrus,500,60.16,1,60.16
6,h2o,,2250,180.93,1,180.93
7,h2o,,2000,418.99,1,418.99
8,coco,Coco,other,85.25,1,85.25
9,coco,Coco,other,302.24,1,302.24
10,coco,Coco,3000,187.99,1,187.99
11,none,none,2000,192.39,1,192.39
12,none,none,other,476.00,6,79.33
13,coco,Coco,1000,97.99,6,16.33
14,coco,Coco,1000,432.24,1,432.24
15,coco,Coco,750,452.97,1,452.97
16,coco,Coco,1000,135.99,1,135.99
17,coco,Vainilla,other,211.90,1,211.9
18,coco,Coco,other,302.24,1,302.24
19,coco,Coco,3000,90.00,1,90.0
20,none,none,2000,526.99,1,526.99
21,coco,Coco,3000,323.04,1,323.04
22,coco,Coco,750,452.97,1,452.97
23,coco,Coco,3000,90.00,1,90.0
24,coco,Coco,other,47.78,1,47.78
25,coco,Coco,3000,69.52,1,69.52
26,coco,Coco,1000,799.90,1,799.9
27,coco,Coco,2000,114.99,1,114.99
28,coco,Coco,250,304.99,1,304.99
29,coco,Coco,other,371.30,6,61.88
30,coco,Coco,1000,135.99,1,135.99
31,none,none,2000,214.49,1,214.49
32,coco,Coco,1000,219.69,1,219.69
33,none,none,2000,420.99,1,420.99
34,none,none,other,277.13,1,277.13
35,coco,Coco,other,985.00,1,985.0
36,none,none,other,287.94,1,287.94
37,coco,Coco,other,204.90,1,204.9
38,coco,Coco,3000,234.64,1,234.64
39,none,none,2000,214.49,1,214.49
40,coco,Coco,other,283.39,6,47.23
41,coco,Coco,250,323.04,1,323.04
42,coco,Coco,2000,542.99,1,542.99
43,coco,Vainilla,1000,555.90,6,92.65
44,coco,Coco,500,761.85,1,761.85
45,coco,Coco,other,0,1,0.0
46,coco,Coco,2000,116.99,1,116.99
47,none,none,3000,142.99,1,142.99
48,none,none,other,269.74,1,269.74
49,coco,Coco,750,533.64,1,533.64
50,none,none,2000,526.99,1,526.99
51,coco,Coco,3000,273.64,1,273.64
52,coco,Coco,1000,168.34,1,168.34
53,coco,Coco,500,237.89,1,237.89
54,coco,Coco,2000,450.99,1,450.99
55,coco,Coco,1000,142.99,1,142.99
56,coco,Coco,1000,175.90,1,175.9
57,coco,Coco,3000,156.33,1,156.33
58,coco,Coco,other,305.49,1,305.49
59,coco,Coco,1000,1750,1,1750.0
60,coco,Coco,250,125.99,1,125.99
61,coco,Coco,1000,133.99,1,133.99
62,coco,Coco,other,305.49,1,305.49
63,coco,Coco,other,392.59,6,65.43
64,coco,Coco,other,392.59,6,65.43
65,coco,Coco,2000,393.60,1,393.6
66,none,none,2000,526.99,1,526.99
67,none,none,2000,630.99,1,630.99
68,coco,Coco,3000,116.49,1,116.49
69,coco,Coco,2000,540.90,1,540.9
70,coco,Coco,750,533.64,1,533.64
71,coco,Coco,2000,195.64,1,195.64
72,coco,Coco,1000,84.99,1,84.99
73,coco,Coco,2000,189.14,1,189.14
74,none,none,1000,367.89,1,367.89
75,coco,Coco,other,129.99,1,129.99
76,coco,Coco,2000,195.64,1,195.64
77,none,none,other,287.94,1,287.94
78,coco,Coco,2000,490.00,1,490.0
79,none,none,3000,2250,1,2250.0
80,citric,,1500,383.70,1,383.7
81,citric,,1500,219.00,1,219.0
82,citric,,1000,94.80,1,94.8
83,citric,,1000,262.20,1,262.2
84,citric,,500,142.80,1,142.8
85,citric,,500,134.10,1,134.1
86,citric,,1000,94.80,1,94.8
87,citric,,1000,221.30,1,221.3
88,citric,,3000,761.90,1,761.9
89,citric,,250,85.00,1,85.0
90,citric,,other,643.95,1,643.95
91,citric,,750,196.20,1,196.2
92,citric,,1000,221.30,1,221.3
93,citric,,1000,221.30,1,221.3
94,citric,,1500,219.00,1,219.0
95,citric,,250,71.90,1,71.9
96,citric,,1000,249.50,1,249.5
97,citric,,500,196.90,1,196.9
98,citric,,1000,221.30,1,221.3
99,none,none,2000,389.99,1,389.99
100,Stella Artois,,710,316.00,1,316.0
101,Stella Artois,,330,135.47,1,135.47
102,Stella Artois,,269,1118,6,186.33
103,Stella Artois,,473,1140,6,190.0
104,Stella Artois,Noire,473,1140,6,190.0
105,Stella Artois,,other,247.47,1,247.47
106,Stella Artois,,473,190.10,1,190.1
107,Salentein,,750,733.37,1,733.37
108,Salentein,,750,826.71,1,826.71
109,Salentein,,750,913.38,1,913.38
110,Salentein,Reserve Malbec,750,826.71,1,826.71
111,Salentein,,750,826.71,1,826.71
112,Salentein,Espumante Extra Brut,750,660.03,1,660.03
113,Salentein,,750,733.37,1,733.37
114,Salentein,,750,733.37,1,733.37
115,Salentein,,750,1266,1,1266.0
116,Salentein,,750,1666,1,1666.0
117,Salentein,,750,826.71,1,826.71
118,Salentein,,750,826.71,1,826.71
119,Salentein,,750,1153,1,1153.0
120,Salentein,,750,913.38,1,913.38
121,Salentein,,750,946.71,1,946.71
122,Salentein,,3000,523.36,1,523.36
123,Salentein,Chardonnay Reserva,750,826.71,1,826.71
124,Salentein,,750,993.38,1,993.38
125,none,none,750,4133,1,4133.0
126,Red Bull,Normal,250,582.64,4,145.66
127,Red Bull,Normal,250,145.66,1,145.66
128,Red Bull,Sin Azucar,250,125.00,1,125.0
129,Red Bull,Normal,3000,180.88,1,180.88
130,Red Bull,Normal,250,145.72,1,145.72
131,Quilmes,Clásica,1000,112.73,1,112.73
132,Quilmes,Clásica,1000,133.20,1,133.2
133,Quilmes,Clásica,3000,46.32,1,46.32
134,Quilmes,Stout,1000,173.60,1,173.6
135,Quilmes,Clásica,473,95.15,1,95.15
136,Quilmes,Red Lager,473,692.40,6,115.4
137,Quilmes,Red Lager,473,115.40,1,115.4
138,Portillo,Blanco Chardonnay,750,320.02,1,320.02
139,Portillo,Tinto Malbec,1500,646.70,1,646.7
140,Portillo,Tinto Malbec,750,320.02,1,320.02
141,Portillo,,750,326.68,1,326.68
142,Portillo,,750,320.02,1,320.02
143,Portillo,Tinto Cabernet Sauvignon,750,320.02,1,320.02
144,Portillo,,750,320.02,1,320.02
145,Portillo,,750,320.02,1,320.02
146,Portillo,,750,320.02,1,320.02
147,Portillo,Tinto Malbec,750,320.02,1,320.02
148,Portillo,,750,320.02,1,320.02
149,Portillo,Tinto Malbec,3000,207.34,1,207.34
150,Pepsi,Pet,2250,180.64,1,180.64
151,Pepsi,Pet,2250,166.31,1,166.31
152,Pepsi,Pet,3000,260.61,1,260.61
153,Pepsi,Black,2250,166.31,1,166.31
154,Pepsi,Black,1500,118.08,1,118.08
155,Pepsi,Pet,500,75.02,1,75.02
156,Pepsi,Pet,1500,135.00,1,135.0
157,Pepsi,Pet,354,43.92,1,43.92
158,Pepsi,Pet,1500,131.51,1,131.51
159,Patagonia,Weisse,730,228.30,1,228.3
160,Patagonia,Bohemian Pilsener,730,228.30,1,228.3
161,Patagonia,Hoppy Lager,730,228.30,1,228.3
162,none,none,2000,163.00,1,163.0
163,Patagonia,,2000,576.65,1,576.65
164,Patagonia,Amber Lager,2000,943.20,6,157.2
165,Patagonia,Amber Lager,473,1041,6,173.5
166,Patagonia,,3000,221.00,1,221.0
167,Patagonia,,710,228.30,1,228.3
168,Patagonia,,2000,943.20,6,157.2
169,Patagonia,Hoppy Lager,269,1076,10,107.6
170,Patagonia,24.7,730,228.30,1,228.3
171,Patagonia,,750,846.04,1,846.04
172,Patagonia,,2000,163.00,1,163.0
173,Patagonia,,2000,576.65,1,576.65
174,Patagonia,,2000,576.65,1,576.65
175,Patagonia,24.7,473,1041,6,173.5
176,Patagonia,,1000,334.75,1,334.75
177,none,none,2000,571.25,6,95.21
178,none,none,2000,576.65,1,576.65
179,Patagonia,Bohemian Pilsener,1000,943.20,6,157.2
180,Patagonia,Amber Lager,1000,209.60,1,209.6
181,none,none,2000,571.25,6,95.21
182,none,none,2000,571.25,6,95.21
183,Patagonia,Amber Lager,730,228.30,1,228.3
184,none,none,2000,571.25,6,95.21
185,Patagonia,Hoppy Lager,269,143.50,1,143.5
186,Patagonia,,473,231.40,1,231.4
187,Patagonia,24.7,730,228.30,1,228.3
188,none,none,3000,221.00,1,221.0
189,Patagonia,,2000,576.65,1,576.65
190,none,none,2000,571.25,6,95.21
191,Patagonia,Bohemian Pilsener,473,1041,6,173.5
192,Patagonia,,2000,209.60,1,209.6
193,Patagonia,Amber Lager,473,231.40,1,231.4
194,none,none,2000,571.25,6,95.21
195,Patagonia,Bohemian Pilsener,1000,209.60,1,209.6
196,Patagonia,,2000,576.65,1,576.65
197,Patagonia,,750,846.04,1,846.04
198,Paso De Los Toros,Pomelo,2250,166.76,1,166.76
199,Paso De Los Toros,Pomelo,269,35.97,1,35.97
200,Paso De Los Toros,Tónica,1500,163.17,1,163.17
201,Paso De Los Toros,Pomelo,269,35.97,1,35.97
202,Paso De Los Toros,Pomelo,1500,163.17,1,163.17
203,Novecento,Tinto Malbec,750,219.74,1,219.74
204,Novecento,,750,252.68,1,252.68
205,Novecento,Tinto Cabernet Sauvignon,750,219.74,1,219.74
206,Novecento,Raices Malbec,750,288.61,1,288.61
207,Novecento,Raices Cabernet Sauvignon,750,288.61,1,288.61
208,Nestle,,other,234.99,1,234.99
209,none,none,3000,276.65,1,276.65
210,none,none,1000,111.75,6,18.62
211,none,none,other,240.49,1,240.49
212,none,none,2000,73.85,6,12.31
213,none,none,2000,306.99,1,306.99
214,Nestle,Sin Gas,2250,94.61,1,94.61
215,Nestle,,other,235.49,1,235.49
216,none,none,2000,110.00,6,18.33
217,none,none,500,621.65,1,621.65
218,none,none,1000,417.99,1,417.99
219,none,none,2000,338.15,1,338.15
220,none,none,6.3,229.35,1,229.35
221,none,none,1000,95.00,1,95.0
222,none,none,2000,71.55,1,71.55
223,none,none,2000,338.15,1,338.15
224,none,none,3000,276.65,1,276.65
225,none,none,2000,338.15,1,338.15
226,Nestle,Sin Gas,500,71.62,1,71.62
227,none,none,2000,338.15,1,338.15
228,none,none,2000,241.99,1,241.99
229,none,none,other,1133,1,1133.0
230,none,none,2000,223.00,1,223.0
231,none,none,3000,594.25,1,594.25
232,Nestle,Sin Gas,1500,63.98,1,63.98
233,none,none,3000,569.80,1,569.8
234,none,none,2000,78.80,1,78.8
235,none,none,other,564.99,1,564.99
236,none,none,3000,781.55,1,781.55
237,Nestle,,other,234.99,1,234.99
238,Nestle,,other,234.99,1,234.99
239,none,none,3000,279.90,1,279.9
240,none,none,other,564.99,1,564.99
241,none,none,1000,648.49,1,648.49
242,none,none,other,811.45,1,811.45
243,none,none,other,835.95,1,835.95
244,Mirinda,Naranja,2250,134.87,1,134.87
