,marca,subtipo,tamaño,precio,promo,precio_promo,pack,precio_final
0,h2o,Citrus,1500,105,1.0,105.0,1,105.0
1,coco,Coco,2000,119,1.0,119.0,1,119.0
2,coco,Coco,1000,290,1.0,290.0,1,290.0
3,coco,Coco,other,249,1.0,249.0,1,249.0
4,coco,Coco,1000,67,1.0,67.0,1,67.0
5,coco,Coco,2000,120,1.0,120.0,1,120.0
6,coco,Coco,2000,415,1.0,415.0,1,415.0
7,coco,Vainilla,other,45,1.0,45.0,1,45.0
8,coco,Coco,other,181,1.0,181.0,1,181.0
9,coco,Coco,2000,598,1.0,598.0,1,598.0
10,coco,Coco,other,78,1.0,78.0,6,13.0
11,citric,,1500, 285,1.0,285.0,1,285.0
12,citric,,1000,273,1.0,273.0,1,273.0
13,citric,,other,796,1.0,796.0,1,796.0
14,citric,,750,215,1.0,215.0,1,215.0
15,citric,,500,155,1.0,155.0,1,155.0
16,citric,,other,739,1.0,739.0,1,739.0
17,Stella Artois,,473,1164,1.0,1164.0,6,194.0
18,Stella Artois,,other,306,1.0,306.0,1,306.0
19,Stella Artois,,269,1141,0.75,855.75,6,142.62
20,Stella Artois,Noire,473,1164,1.0,1164.0,6,194.0
21,Stella Artois,,710,351,1.0,351.0,1,351.0
22,Salentein,Reserve Malbec,750,1265,1.0,1265.0,1,1265.0
23,Salentein,Reserve Malbec,750,745,1.0,745.0,1,745.0
24,Salentein,,750,2808,1.0,2808.0,1,2808.0
25,Salentein,,750,760,1.0,760.0,1,760.0
26,Salentein,,750,1938,1.0,1938.0,1,1938.0
27,Salentein,,750,1290,1.0,1290.0,1,1290.0
28,Salentein,,750,1425,1.0,1425.0,1,1425.0
29,none,none,750,745,1.0,745.0,1,745.0
30,Salentein,,750,1477,1.0,1477.0,1,1477.0
31,Salentein,,750,6448,1.0,6448.0,1,6448.0
32,Red Bull,Normal,250,149,1.0,149.0,1,149.0
33,Red Bull,Normal,250,152,1.0,152.0,1,152.0
34,Quilmes,Red Lager,473,707,1.0,707.0,6,117.83
35,none,none,1000,3792,1.0,3792.0,1,3792.0
36,none,none,750,1556,1.0,1556.0,1,1556.0
37,none,none,750,3189,1.0,3189.0,1,3189.0
38,none,none,473,246,1.0,246.0,1,246.0
39,none,none,473,276,1.0,276.0,1,276.0
40,none,none,250,83,1.0,83.0,1,83.0
41,none,none,750,1586,1.0,1586.0,1,1586.0
42,Quilmes,Clásica,473,92,1.0,92.0,1,92.0
43,Quilmes,Stout,473,707,1.0,707.0,6,117.83
44,Quilmes,Red Lager,473,707,1.0,707.0,6,117.83
45,Quilmes,0%,1000,966,1.0,966.0,6,161.0
46,Quilmes,Clásica,1000,289,1.0,289.0,1,289.0
47,Portillo,Tinto Malbec,750,490,1.0,490.0,1,490.0
48,Portillo,,750,500,1.0,500.0,1,500.0
49,Portillo,,750,490,1.0,490.0,1,490.0
50,Portillo,Tinto Malbec,other,324,1.0,324.0,1,324.0
51,Portillo,,750,500,1.0,500.0,1,500.0
52,Portillo,Tinto Malbec,1500,936,1.0,936.0,1,936.0
53,Pepsi,Black,2250,227,0.6666666666666666,151.33333333333331,1,151.33
54,Pepsi,Black,1500,111,1.0,111.0,1,111.0
55,Pepsi,Pet,2250,227,0.6666666666666666,151.33333333333331,1,151.33
56,Pepsi,Pet,500,78,1.0,78.0,1,78.0
57,Pepsi,Pet,1500,131,1.0,131.0,1,131.0
58,Pepsi,Black,500,68,1.0,68.0,1,68.0
59,Patagonia,Amber Lager,730,312,1.0,312.0,1,312.0
60,Patagonia,24.7,730,312,1.0,312.0,1,312.0
61,Patagonia,Hoppy Lager,1000,1464,0.75,1098.0,10,109.8
62,Patagonia,Bohemian Pilsener,730,312,1.0,312.0,1,312.0
63,Patagonia,,1000,1284,1.0,1284.0,6,214.0
64,Patagonia,,1000,1284,1.0,1284.0,6,214.0
65,Patagonia,,473,1417,1.0,1417.0,6,236.17
66,Patagonia,24.7,473,239,1.0,239.0,1,239.0
67,Patagonia,,473,271,1.0,271.0,1,271.0
68,none,none,1000,208,1.0,208.0,1,208.0
69,Paso De Los Toros,Tónica,1500,168,1.0,168.0,1,168.0
70,Paso De Los Toros,Pomelo,1500,168,1.0,168.0,1,168.0
71,Paso De Los Toros,Pomelo,1500,167,1.0,167.0,1,167.0
72,Paso De Los Toros,Pomelo,269,56,1.0,56.0,1,56.0
73,Paso De Los Toros,Pomelo,500,78,1.0,78.0,1,78.0
74,Paso De Los Toros,,500,66,1.0,66.0,1,66.0
75,Novecento,,750,331,1.0,331.0,1,331.0
76,Novecento,Tinto Cabernet Sauvignon,750,331,1.0,331.0,1,331.0
77,Novecento,,750,451,1.0,451.0,1,451.0
78,Novecento,Raices Cabernet Sauvignon,750,451,1.0,451.0,1,451.0
79,none,none,2000,187,1.0,187.0,1,187.0
80,none,none,other,300,1.0,300.0,1,300.0
81,none,none,2000,187,1.0,187.0,1,187.0
82,none,none,2000,183,1.0,183.0,1,183.0
83,none,none,2000,187,1.0,187.0,1,187.0
84,Nestle,Sin Gas,2250,97,1.0,97.0,1,97.0
85,Nestle,Sin Gas,1500,63,1.0,63.0,1,63.0
86,Nestle,,other,247,1.0,247.0,1,247.0
87,none,none,other,247,1.0,247.0,1,247.0
88,Nestle,,other,247,1.0,247.0,1,247.0
89,Mirinda,Naranja,1500,76,1.0,76.0,1,76.0
90,Mirinda,Naranja,2250,173,1.0,173.0,1,173.0
91,none,none,other,100,1.0,100.0,1,100.0
92,none,none,other,218,1.0,218.0,1,218.0
93,none,none,750,368,1.0,368.0,1,368.0
94,none,none,other,114,1.0,114.0,1,114.0
95,none,none,other,165,1.0,165.0,1,165.0
96,none,none,other,114,1.0,114.0,1,114.0
97,none,none,other,114,1.0,114.0,1,114.0
98,none,none,other,254,1.0,254.0,1,254.0
99,Glaciar,Sin Gas,2000,75,1.0,75.0,1,75.0
100,Glaciar,Sin Gas,1500,81,1.0,81.0,1,81.0
101,Glaciar,Sin Gas,6.3,276,1.0,276.0,1,276.0
102,Glaciar,Sin Gas,500,80,1.0,80.0,1,80.0
103,Glaciar,Sin Gas,2000,197,1.0,197.0,1,197.0
104,Glaciar,Sin Gas,1000,103,1.0,103.0,1,103.0
105,Gatorade,Naranja,500,118,1.0,118.0,1,118.0
106,Gatorade,Cool Blue,500, 85,1.0,85.0,1,85.0
107,Gatorade,Cool Blue,1250,201,1.0,201.0,1,201.0
