,marca,subtipo,tamaño,precio,promo,precio_final,pack
0,h2o,Limoneto,2250,181,1.0,181.0,1
1,h2o,Citrus,2250,181,1.0,181.0,1
2,h2o,,2250,181,1.0,181.0,1
3,h2o,Citrus,1500,105.43,1.0,105.0,1
4,h2o,Citrus,500,60,1.0,60.0,1
5,h2o,Limoneto,500,60,1.0,60.0,1
6,h2o,Limoneto,1500,105.35,1.0,105.0,1
7,h2o,,1500,134,1.0,134.0,1
8,h2o,,1500,117.01,1.0,117.0,1
9,coco,Coco,other,229,1.0,229.0,1
10,coco,Coco,250,69.5,1.0,70.0,1
11,coco,Coco,1000,72,1.0,72.0,1
12,coco,Coco,2000,45.8,1.0,46.0,1
13,coco,Coco,other,205,1.0,205.0,1
14,coco,Coco,1000,64,1.0,64.0,1
15,coco,Coco,250,99.8,1.0,100.0,1
16,coco,Coco,other,75,1.0,12.5,6
17,coco,Coco,250,375.6,1.0,376.0,1
18,coco,Coco,2000,114,1.0,114.0,1
19,coco,Coco,other,174,1.0,174.0,1
20,coco,Vainilla,1000,119,1.0,119.0,1
21,citric,,1500,384,1.0,384.0,1
22,citric,,1000,262,1.0,262.0,1
23,citric,,other,765,1.0,765.0,1
24,citric,,750, 185,1.0,185.0,1
25,citric,,other,709.7,1.0,710.0,1
26,Stella Artois,,473,1141,0.75,142.67,6
27,Stella Artois,,269,1118,0.75,139.67,6
28,Stella Artois,,other,300,0.75,225.0,1
29,Stella Artois,,710,344,0.75,258.0,1
30,Stella Artois,,1000,32.08,1.0,32.0,1
31,Stella Artois,Noire,473,1141,0.75,142.67,6
32,Stella Artois,Noire,other,300,0.75,225.0,1
33,Stella Artois,Noire,473,192,0.75,144.0,1
34,Salentein,Reserve Malbec,750,685,0.6666666666666666,457.0,1
35,Salentein,Reserve Malbec,750,1135,0.6666666666666666,757.0,1
36,Salentein,,750,685,0.6666666666666666,457.0,1
37,Salentein,,750,1305,0.6666666666666666,870.0,1
38,Salentein,,750,1135,0.6666666666666666,757.0,1
39,none,none,750,1975,0.6666666666666666,1317.0,1
40,Quilmes,Clásica,1000,126.23,1.0,126.0,1
41,Quilmes,Clásica,other,43.7,1.0,44.0,1
42,Quilmes,Red Lager,473,693,1.0,115.5,6
43,Quilmes,Bock,1000,174,1.0,174.0,1
44,Quilmes,0%,other,51,1.0,51.0,1
45,Brahma,Clásica,473,724,1.0,120.67,6
46,Quilmes,0%,1000,947,1.0,157.83,6
47,Quilmes,Clásica,354,80.3,1.0,80.0,1
48,Quilmes,Clásica,1000,283,1.0,283.0,1
49,Andes,Rubia,473,890,0.75,111.33,6
50,Brahma,Clásica,473,121,1.0,121.0,1
51,Andes,IPA,473,1017,0.75,127.17,6
52,Portillo,Tinto Malbec,750,449,0.6666666666666666,299.0,1
53,Portillo,,750,449,0.6666666666666666,299.0,1
54,Portillo,,750,449,0.6666666666666666,299.0,1
55,Portillo,,750,449,0.6666666666666666,299.0,1
56,Pepsi,Black,2250,222,1.0,222.0,1
57,Pepsi,Pet,354,66,1.0,66.0,1
58,Pepsi,Pet,500,76,1.0,76.0,1
59,Pepsi,Black,354,66,1.0,66.0,1
60,Pepsi,Pet,1500,124.07,1.0,124.0,1
61,Pepsi,Black,500,68.43,1.0,68.0,1
62,Pepsi,Pet,2250,171.19,1.0,171.0,1
63,Pepsi,Pet,2250,222,1.0,222.0,1
64,Patagonia,Amber Lager,730,305,1.0,305.0,1
