,marca,subtipo,tamaño,precio,pack,descuento,precio_final
0,Glaciar,Sin Gas,500,61.6,1,1.0,61.6
1,Glaciar,Sin Gas,other,345.0,1,1.0,345.0
2,Glaciar,Sin Gas,1000,93.0,1,1.0,93.0
3,Glaciar,Sin Gas,2000,173.0,1,1.0,173.0
4,Other,Con Gas,2000,46.0,1,1.0,46.0
5,other,other,2000,224.06,1,1.0,224.1
6,Glaciar,Sin Gas,500,61.6,1,1.0,61.6
7,Other,Sin Gas,1500,126.0,1,0.75,94.5
8,Other,Sin Gas,2000,91.0,1,1.0,91.0
9,Other,Sin Gas,2000,70.26,1,1.0,70.3
10,Other,Sin Gas,other,230.0,1,1.0,230.0
11,Other,Sin Gas,2250,79.59,1,1.0,79.6
12,other,other,2000,46.0,1,1.0,46.0
13,Other,Sin Gas,1500,59.0,1,1.0,59.0
14,Other,Sin Gas,500,62.0,1,1.0,62.0
15,Eco de los Andes,Sin Gas,2000,81.6,1,1.0,81.6
16,Other,Sin Gas,500,104.0,1,1.0,104.0
17,Other,Sin Gas,2250,96.0,1,1.0,96.0
18,Other,Sin Gas,1000,82.68,1,1.0,82.7
19,Eco de los Andes,Sin Gas,500,52.29,1,1.0,52.3
20,Other,Sin Gas,500,124.0,1,1.0,124.0
21,Other,Sin Gas,2250,122.0,1,1.0,122.0
22,Other,Sin Gas,other,93.0,1,1.0,93.0
23,Other,Sin Gas,1000,83.0,1,1.0,83.0
24,other,other,3000,155.0,1,1.0,155.0
25,other,other,3000,103.0,1,1.0,103.0
26,other,other,other,236.0,1,1.0,236.0
27,other,other,1000,84.0,1,1.0,84.0
28,other,other,1000,40.49,1,1.0,40.5
29,other,other,500,133.76,1,1.0,133.8
30,other,other,250,119.0,1,1.0,119.0
31,other,other,other,157.0,1,1.0,157.0
32,other,other,3000,91.0,1,1.0,91.0
33,other,other,3000,98.0,1,1.0,98.0
34,other,other,1000,42.5,1,1.0,42.5
35,other,other,2250,229.0,1,0.75,171.8
36,other,other,1500,150.0,1,1.0,150.0
37,other,other,2000,116.9,1,1.0,116.9
38,other,other,2000,116.9,1,1.0,116.9
39,other,other,2250,168.0,1,0.75,126.0
40,other,other,2250,229.0,1,0.75,171.8
41,other,other,2250,229.0,1,0.75,171.8
42,other,other,2000,266.0,1,0.75,199.5
43,other,other,1500,63.0,1,1.0,63.0
44,other,other,2250,160.0,1,1.0,160.0
45,other,other,1500,150.0,1,1.0,150.0
46,other,other,2250,209.0,1,0.75,156.8
47,other,other,2250,168.0,1,0.75,126.0
48,h2o,Other,2250,1288.55,1,1.0,1288.6
49,other,other,1500,121.0,1,1.0,121.0
50,other,other,1500,92.1,1,1.0,92.1
51,other,other,2000,116.52,1,1.0,116.5
52,other,other,1500,92.1,1,1.0,92.1
53,Other,Sin Gas,2000,266.0,1,0.75,199.5
54,Andes,Rubia,473,661.5,6,1.0,110.2
55,Andes,Ipa,473,755.25,6,1.0,125.9
56,Andes,Rubia,1000,177.75,1,1.0,177.8
57,Andes,Ipa,1000,203.25,1,1.0,203.2
58,Heineken,,473,178.0,1,1.0,178.0
59,Heineken,,710,255.0,1,1.0,255.0
60,Imperial,Rubia,710,205.95,1,1.0,206.0
61,Imperial,Other,473,120.18,1,1.0,120.2
62,Imperial,Other,1000,234.55,1,1.0,234.6
63,Corona,,710,287.0,1,1.0,287.0
64,Patagonia,Amber Lager,730,227.25,1,1.0,227.2
65,Budweiser,,710,150.0,1,1.0,150.0
66,Patagonia,24.7,710,227.25,1,1.0,227.2
67,Imperial,Rubia,1000,297.45,1,1.0,297.4
68,other,other,1000,120.4,1,1.0,120.4
69,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
70,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
71,other,other,473,119.8,1,1.0,119.8
72,other,other,473,110.48,1,1.0,110.5
73,Imperial,Other,473,171.6,1,1.0,171.6
74,other,other,1000,184.3,1,1.0,184.3
75,Imperial,Other,473,200.2,1,1.0,200.2
76,Schneider,,710,167.0,1,1.0,167.0
77,other,other,2000,233.06,1,1.0,233.1
78,Imperial,Rubia,1000,234.55,1,1.0,234.6
79,other,other,473,232.0,1,1.0,232.0
80,Budweiser,,1000,544.5,6,1.0,90.8
81,other,other,710,299.0,1,1.0,299.0
82,other,other,710,299.0,1,1.0,299.0
83,other,other,473,113.7,1,1.0,113.7
84,Corona,,269,1460.0,10,1.0,146.0
85,Patagonia,Other,730,227.25,1,1.0,227.2
86,other,other,1000,183.68,1,1.0,183.7
87,Brahma,Clásica,1000,151.03,1,1.0,151.0
88,Quilmes,Clásica,473,87.0,1,1.0,87.0
89,Stella Artois,,269,831.0,6,1.0,138.5
90,other,other,473,253.26,1,1.0,253.3
91,other,other,1000,163.25,1,1.0,163.2
92,Imperial,Other,473,148.75,1,1.0,148.8
93,other,other,473,166.87,1,1.0,166.9
94,other,other,473,123.22,1,1.0,123.2
95,Quilmes,Clásica,1000,122.0,1,1.0,122.0
96,Heineken,,330,140.39,1,1.0,140.4
97,Brahma,Clásica,710,247.0,1,1.0,247.0
98,Brahma,Clásica,473,120.0,1,1.0,120.0
99,other,other,473,166.87,1,1.0,166.9
100,Schneider,,473,98.0,1,1.0,98.0
101,Patagonia,Other,473,1029.75,6,1.0,171.6
102,other,other,1000,986.0,6,1.0,164.3
103,other,other,473,166.87,1,1.0,166.9
104,Brahma,Clásica,473,120.0,1,1.0,120.0
105,Brahma,Clásica,710,247.0,1,1.0,247.0
106,Budweiser,,710,150.0,1,1.0,150.0
107,Budweiser,,1000,544.5,6,1.0,90.8
108,Budweiser,,1000,90.75,1,1.0,90.8
109,Patagonia,Amber Lager,730,227.25,1,1.0,227.2
110,Patagonia,24.7,710,227.25,1,1.0,227.2
111,Patagonia,Bohemian Pilsener,730,227.25,1,1.0,227.2
112,Patagonia,Hoppy Lager,730,227.25,1,1.0,227.2
113,Patagonia,Other,730,227.25,1,1.0,227.2
114,Patagonia,Other,473,1029.75,6,1.0,171.6
115,Heineken,,473,178.0,1,1.0,178.0
116,Heineken,,710,255.0,1,1.0,255.0
117,Andes,Rubia,473,661.5,6,1.0,110.2
118,Imperial,Rubia,710,205.95,1,1.0,206.0
119,Imperial,Other,473,120.18,1,1.0,120.2
120,Imperial,Other,1000,234.55,1,1.0,234.6
121,Corona,,710,287.0,1,1.0,287.0
122,Andes,Ipa,473,755.25,6,1.0,125.9
123,Budweiser,,710,150.0,1,1.0,150.0
124,Imperial,Rubia,1000,297.45,1,1.0,297.4
125,other,other,1000,120.4,1,1.0,120.4
126,Andes,Rubia,1000,177.75,1,1.0,177.8
127,other,other,473,119.8,1,1.0,119.8
